State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Date (Local),Year,Day In Year (Local),Units of Measure,Exceptional Data Type,Nonreg Observation Count,Observation Count,Observation Percent,Nonreg Arithmetic Mean,Arithmetic Mean,Nonreg First Maximum Value,First Maximum Value,First Maximum Hour,AQI,Daily Criteria Indicator,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
44,7,22,87101,1,41.807469,-71.412968,NAD83,"Particle Number, Total Count",1 HOUR,,2022-01-01,2022,1,Count per cm^3,,,24,100.0,,7062.208333,,14300.0,17,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,61107,1,41.807469,-71.412968,NAD83,Std Dev Vt Wind Direction,1 HOUR,,2022-01-01,2022,1,Degrees Compass,,,24,100.0,,17.166667,,25.0,7,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,62101,1,41.807469,-71.412968,NAD83,Outdoor Temperature,1 HOUR,,2022-01-01,2022,1,Degrees Fahrenheit,,,24,100.0,,48.958333,,54.0,15,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,61104,1,41.807469,-71.412968,NAD83,Wind Direction - Resultant,1 HOUR,,2022-01-01,2022,1,Degrees Compass,,,24,100.0,,140.791667,,195.0,15,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,84313,1,41.807469,-71.412968,NAD83,Black carbon PM2.5 STP,1 HOUR,,2022-01-01,2022,1,Micrograms/cubic meter (25 C),,,24,100.0,,0.458333,,1.25,1,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,88101,3,41.807469,-71.412968,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2012,2022-01-01,2022,1,Micrograms/cubic meter (LC),,,1,100.0,,7.1,,7.1,0,30,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,88101,3,41.807469,-71.412968,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2022-01-01,2022,1,Micrograms/cubic meter (LC),,,1,100.0,,7.1,,7.1,0,30,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,88101,3,41.807469,-71.412968,NAD83,PM2.5 - Local Conditions,1 HOUR,,2022-01-01,2022,1,Micrograms/cubic meter (LC),,,24,100.0,,7.125,,38.0,0,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,62201,1,41.807469,-71.412968,NAD83,Relative Humidity,1 HOUR,,2022-01-01,2022,1,Percent relative humidity,,,24,100.0,,100.0,,100.0,0,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,84313,1,41.807469,-71.412968,NAD83,Black carbon PM2.5 STP,1 HOUR,,2022-01-02,2022,2,Micrograms/cubic meter (25 C),,,24,100.0,,0.320833,,0.56,13,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,61104,1,41.807469,-71.412968,NAD83,Wind Direction - Resultant,1 HOUR,,2022-01-02,2022,2,Degrees Compass,,,24,100.0,,197.208333,,339.0,21,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,62201,1,41.807469,-71.412968,NAD83,Relative Humidity,1 HOUR,,2022-01-02,2022,2,Percent relative humidity,,,24,100.0,,95.541667,,100.0,0,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,62101,1,41.807469,-71.412968,NAD83,Outdoor Temperature,1 HOUR,,2022-01-02,2022,2,Degrees Fahrenheit,,,24,100.0,,46.458333,,52.0,15,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,61107,1,41.807469,-71.412968,NAD83,Std Dev Vt Wind Direction,1 HOUR,,2022-01-02,2022,2,Degrees Compass,,,24,100.0,,27.208333,,43.0,20,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,88101,3,41.807469,-71.412968,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2022-01-02,2022,2,Micrograms/cubic meter (LC),,,1,100.0,,3.1,,3.1,0,13,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,88101,3,41.807469,-71.412968,NAD83,PM2.5 - Local Conditions,1 HOUR,,2022-01-02,2022,2,Micrograms/cubic meter (LC),,,24,100.0,,3.166667,,7.0,16,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,87101,1,41.807469,-71.412968,NAD83,"Particle Number, Total Count",1 HOUR,,2022-01-02,2022,2,Count per cm^3,,,24,100.0,,4740.0,,9031.0,14,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,88101,3,41.807469,-71.412968,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2012,2022-01-02,2022,2,Micrograms/cubic meter (LC),,,1,100.0,,3.1,,3.1,0,13,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,61104,1,41.807469,-71.412968,NAD83,Wind Direction - Resultant,1 HOUR,,2022-01-03,2022,3,Degrees Compass,,,24,100.0,,172.25,,350.0,5,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,88101,3,41.807469,-71.412968,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2012,2022-01-03,2022,3,Micrograms/cubic meter (LC),,,1,100.0,,3.4,,3.4,0,14,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,88101,3,41.807469,-71.412968,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2022-01-03,2022,3,Micrograms/cubic meter (LC),,,1,100.0,,3.4,,3.4,0,14,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,88101,3,41.807469,-71.412968,NAD83,PM2.5 - Local Conditions,1 HOUR,,2022-01-03,2022,3,Micrograms/cubic meter (LC),,,24,100.0,,3.458333,,6.0,22,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,61107,1,41.807469,-71.412968,NAD83,Std Dev Vt Wind Direction,1 HOUR,,2022-01-03,2022,3,Degrees Compass,,,24,100.0,,37.75,,47.0,23,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,84313,1,41.807469,-71.412968,NAD83,Black carbon PM2.5 STP,1 HOUR,,2022-01-03,2022,3,Micrograms/cubic meter (25 C),,,24,100.0,,0.197917,,0.33,15,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,62101,1,41.807469,-71.412968,NAD83,Outdoor Temperature,1 HOUR,,2022-01-03,2022,3,Degrees Fahrenheit,,,24,100.0,,27.666667,,34.0,0,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,62201,1,41.807469,-71.412968,NAD83,Relative Humidity,1 HOUR,,2022-01-03,2022,3,Percent relative humidity,,,24,100.0,,69.625,,85.0,1,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,87101,1,41.807469,-71.412968,NAD83,"Particle Number, Total Count",1 HOUR,,2022-01-03,2022,3,Count per cm^3,,,24,100.0,,8056.583333,,12817.0,15,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,88101,3,41.807469,-71.412968,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2022-01-04,2022,4,Micrograms/cubic meter (LC),,,1,100.0,,5.0,,5.0,0,21,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,62201,1,41.807469,-71.412968,NAD83,Relative Humidity,1 HOUR,,2022-01-04,2022,4,Percent relative humidity,,,24,100.0,,57.458333,,82.0,23,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,62101,1,41.807469,-71.412968,NAD83,Outdoor Temperature,1 HOUR,,2022-01-04,2022,4,Degrees Fahrenheit,,,24,100.0,,24.166667,,33.0,14,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,61104,1,41.807469,-71.412968,NAD83,Wind Direction - Resultant,1 HOUR,,2022-01-04,2022,4,Degrees Compass,,,24,100.0,,270.916667,,353.0,11,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,61107,1,41.807469,-71.412968,NAD83,Std Dev Vt Wind Direction,1 HOUR,,2022-01-04,2022,4,Degrees Compass,,,24,100.0,,27.375,,42.0,10,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,61103,1,41.807469,-71.412968,NAD83,Wind Speed - Resultant,1 HOUR,,2022-01-04,2022,4,Knots,,,10,42.0,,3.54,,4.3,15,.,N,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,84313,1,41.807469,-71.412968,NAD83,Black carbon PM2.5 STP,1 HOUR,,2022-01-04,2022,4,Micrograms/cubic meter (25 C),,,24,100.0,,0.29,,0.76,21,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,87101,1,41.807469,-71.412968,NAD83,"Particle Number, Total Count",1 HOUR,,2022-01-04,2022,4,Count per cm^3,,,23,96.0,,12463.608696,,26692.0,18,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,88101,3,41.807469,-71.412968,NAD83,PM2.5 - Local Conditions,1 HOUR,,2022-01-04,2022,4,Micrograms/cubic meter (LC),,,24,100.0,,5.083333,,9.0,0,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,88101,3,41.807469,-71.412968,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2012,2022-01-04,2022,4,Micrograms/cubic meter (LC),,,1,100.0,,5.0,,5.0,0,21,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,45501,7,41.807469,-71.412968,NAD83,Benzaldehyde,24 HOUR,,2022-01-05,2022,5,Parts per billion Carbon,,,1,100.0,,0.0,,0.0,0,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
44,7,22,82102,2,41.807469,-71.412968,NAD83,Antimony PM10 STP,24 HOUR,,2022-01-05,2022,5,Nanograms/cubic meter (25 C),,,1,100.0,,0.84,,0.84,0,.,Y,,Rhode Island,Providence,Providence,CCRI Liston Campus ROOFTOP,"1 Hilton St, PROVIDENCE RI","Providence-Warwick, RI-MA",AQS Data Mart
